time,/gem/base_footprint/odom.x,/gem/base_footprint/odom.y,/gem/base_footprint/odom.z,/lio_sam_lo/mapping/odometry.x,/lio_sam_lo/mapping/odometry.y,/lio_sam_lo/mapping/odometry.z
16941.926000000,-30.5303,-1.49999,-0.100033,0,0,0
16942.096000000,-30.5304,-1.49999,-0.100033,-0.000978791,-0.00012113,0.00334908
16942.266000000,-30.5306,-1.49999,-0.100033,-0.000431364,-0.000271172,0.00301925
16942.436000000,-30.5307,-1.49999,-0.100033,-0.000505855,-0.000148963,0.00299005
16942.606000000,-30.5308,-1.49999,-0.100033,-0.00115098,0.000301021,0.00295795
16942.776000000,-30.531,-1.49999,-0.100033,-0.00102918,-0.000326303,0.00281621
16942.980000000,-30.5311,-1.49999,-0.100033,-0.00147611,-0.000333008,0.00310771
16943.150000000,-30.5309,-1.49999,-0.100033,-0.000928847,-0.000712435,0.0032453
16943.354000000,-30.5287,-1.49999,-0.100033,0.000923799,-0.000597836,0.00337108
16943.558000000,-30.5243,-1.49999,-0.100033,0.00504266,-0.000220285,0.0035029
16943.694000000,-30.5196,-1.49999,-0.100033,0.0100026,-8.68571e-05,0.0046232
16943.898000000,-30.5076,-1.49999,-0.100034,0.0227719,0.000132344,0.0060819
16944.068000000,-30.4909,-1.49999,-0.100034,0.0390678,0.00037949,0.00733418
16944.306000000,-30.4539,-1.49999,-0.100034,0.07469,-0.000792791,0.00986742
16944.476000000,-30.418,-1.49999,-0.100034,0.107577,0.000989881,0.0146263
16944.680000000,-30.3655,-1.49999,-0.100034,0.159037,0.00080902,0.0204606
16944.850000000,-30.3147,-1.49999,-0.100033,0.210106,0.00116384,0.0218001
16945.054000000,-30.2461,-1.49999,-0.100033,0.273023,0.00178668,0.0246462
16945.258000000,-30.1699,-1.49999,-0.100033,0.339391,0.0024814,0.0305968
16945.428000000,-30.1013,-1.49999,-0.100033,0.418824,0.00272759,0.0293037
16945.598000000,-30.0308,-1.49999,-0.0976659,0.482576,0.00207058,0.0216578
16945.802000000,-29.949,-1.49999,-0.099368,0.557336,0.000355107,0.0414719
16946.006000000,-29.8615,-1.49999,-0.100033,0.646082,0.000878391,0.0380035
16946.176000000,-29.7844,-1.49999,-0.100033,0.725829,0.000306864,0.0297341
16946.380000000,-29.6872,-1.49999,-0.100033,0.831586,0.00122428,0.0219623
16946.516000000,-29.6198,-1.49999,-0.100033,0.904948,-0.00127476,0.0325282
16946.686000000,-29.5329,-1.49999,-0.100033,0.984392,-0.00215415,0.00596374
16946.890000000,-29.4251,-1.49999,-0.100033,1.1033,-0.00447987,0.0306863
16947.060000000,-29.3326,-1.49999,-0.100033,1.19233,-0.000776476,0.0395411
16947.230000000,-29.238,-1.5,-0.100033,1.28565,-8.25586e-05,0.039599
16947.434000000,-29.1219,-1.5,-0.100033,1.40341,-0.000521207,0.0387921
16947.638000000,-29.0033,-1.5,-0.100033,1.51532,-0.00214455,0.0397635
16947.842000000,-28.8826,-1.5,-0.100033,1.63584,-0.00282864,0.037271
16948.012000000,-28.7806,-1.5,-0.100033,1.7311,-0.00184134,0.028577
16948.216000000,-28.6565,-1.5,-0.100033,1.85637,-0.00116843,0.0298749
16948.420000000,-28.531,-1.5,-0.100033,1.97898,-0.00154388,0.02641
16948.590000000,-28.4254,-1.5,-0.100033,2.09717,-0.000686091,0.0240053
16948.794000000,-28.2976,-1.5,-0.100033,2.21972,-0.00135385,0.0321356
16948.930000000,-28.2119,-1.5,-0.100033,2.31661,0.000163437,0.034433
16949.134000000,-28.0826,-1.5,-0.100033,2.42834,0.00168196,0.0317232
16949.304000000,-27.9742,-1.5,-0.100033,2.54229,0.000769479,0.0330042
16949.508000000,-27.8435,-1.50001,-0.100033,2.66744,0.00105566,0.0293681
16949.678000000,-27.7342,-1.50001,-0.100033,2.76162,0.000224974,0.0324914
16949.882000000,-27.6026,-1.50001,-0.100033,2.90064,-0.000538111,0.0241834
16950.086000000,-27.4706,-1.50001,-0.100033,3.04262,-0.00068428,0.0252258
16950.290000000,-27.3382,-1.50001,-0.100033,3.16814,0.000548909,0.0187994
16950.494000000,-27.2056,-1.50001,-0.100033,3.31015,-0.00155462,0.012931
16950.664000000,-27.095,-1.50001,-0.100033,3.42762,-0.000306439,0.0100837
16950.868000000,-26.9621,-1.50001,-0.100033,3.54803,-0.000524686,0.00874068
16951.038000000,-26.8513,-1.50001,-0.100033,3.67761,-0.00115509,0.0063464
16951.276000000,-26.6961,-1.50001,-0.100033,3.81285,-0.0012649,0.000170588
16951.480000000,-26.5631,-1.50002,-0.100033,3.94217,-0.00230674,0.00131604
16951.684000000,-26.43,-1.50002,-0.100033,4.07897,-0.00289755,-0.00235958
16951.854000000,-26.3192,-1.50002,-0.100033,4.20158,-0.00307102,0.000814703
16952.058000000,-26.1863,-1.50002,-0.100033,4.32773,-0.0028927,-0.00527079
16952.262000000,-26.0535,-1.50002,-0.100033,4.45413,-0.00169656,-0.00704162
16952.432000000,-25.9429,-1.50002,-0.100033,4.57785,-0.00245216,-0.0111737
16952.636000000,-25.8103,-1.50002,-0.100033,4.69564,-0.00214873,-0.00990069
16952.840000000,-25.6778,-1.50002,-0.100033,4.82366,-0.00173519,-0.0139579
